Name,League,Team,Stat,Versus,Prizepicks,Odds Type
Anthony Volpe,MLB,NYY,Total Bases,MIL,2.5,demon
Anthony Volpe,MLB,NYY,RBIs,MIL,1.5,demon
Jazz Chisholm Jr.,MLB,NYY,RBIs,MIL,1.5,demon
Anthony Volpe,MLB,NYY,RBIs,MIL,0.5,demon
Sal Frelick,MLB,MIL,RBIs,NYY,0.5,demon
Jasson Domínguez,MLB,NYY,RBIs,MIL,0.5,demon
Anthony Volpe,MLB,NYY,Hits+Runs+RBIs,MIL,2.5,demon
Sal Frelick,MLB,MIL,Hits+Runs+RBIs,NYY,2.5,demon
Christian Yelich,MLB,MIL,Hits+Runs+RBIs,NYY,2.5,demon
William Contreras,MLB,MIL,Runs,NYY,1.5,demon
Garrett Mitchell,MLB,MIL,RBIs,NYY,0.5,demon
Jazz Chisholm Jr.,MLB,NYY,Total Bases,MIL,2.5,demon
Sal Frelick,MLB,MIL,Walks,NYY,0.5,demon
Garrett Mitchell,MLB,MIL,Walks,NYY,0.5,demon
Christian Yelich,MLB,MIL,Walks,NYY,0.5,demon
Cody Bellinger,MLB,NYY,Doubles,MIL,0.5,demon
Aaron Judge,MLB,NYY,Singles,MIL,0.5,demon
Austin Wells,MLB,NYY,RBIs,MIL,0.5,demon
Jazz Chisholm Jr.,MLB,NYY,Total Bases,MIL,1.5,demon
Vinny Capra,MLB,MIL,Hits+Runs+RBIs,NYY,1.5,demon
Sal Frelick,MLB,MIL,Runs,NYY,0.5,demon
Jackson Chourio,MLB,MIL,Runs,NYY,1.5,demon
Cody Bellinger,MLB,NYY,Total Bases,MIL,0.5,goblin
Vinny Capra,MLB,MIL,Walks,NYY,0.5,demon
Vinny Capra,MLB,MIL,RBIs,NYY,0.5,demon
Jazz Chisholm Jr.,MLB,NYY,Hits,MIL,1.5,demon
William Contreras,MLB,MIL,Total Bases,NYY,1.5,demon
Joey Ortiz,MLB,MIL,Total Bases,NYY,2.5,demon
Brice Turang,MLB,MIL,Total Bases,NYY,1.5,demon
William Contreras,MLB,MIL,Total Bases,NYY,3.5,demon
Cody Bellinger,MLB,NYY,Hits,MIL,1.5,demon
Cody Bellinger,MLB,NYY,RBIs,MIL,1.5,demon
Aaron Judge,MLB,NYY,Hits,MIL,0.5,goblin
Nestor Cortes,MLB,MIL,Pitcher Fantasy Score,NYY,24.5,standard
Jackson Chourio,MLB,MIL,Hits+Runs+RBIs,NYY,2.5,demon
Paul Goldschmidt,MLB,NYY,Total Bases,MIL,0.5,goblin
Joey Ortiz,MLB,MIL,Doubles,NYY,0.5,demon
Rhys Hoskins,MLB,MIL,Total Bases,NYY,4.5,demon
Paul Goldschmidt,MLB,NYY,Hits,MIL,0.5,goblin
Christian Yelich,MLB,MIL,Total Bases,NYY,2.5,demon
Nestor Cortes,MLB,MIL,Pitcher Strikeouts,NYY,4.5,standard
Max Fried,MLB,NYY,Hits Allowed,MIL,4.5,standard
Rhys Hoskins,MLB,MIL,Hits+Runs+RBIs,NYY,0.5,goblin
Christian Yelich,MLB,MIL,Doubles,NYY,0.5,demon
Max Fried,MLB,NYY,Walks Allowed,MIL,1.5,standard
Joey Ortiz,MLB,MIL,Total Bases,NYY,0.5,goblin
Jasson Domínguez,MLB,NYY,Hits,MIL,1.5,demon
Paul Goldschmidt,MLB,NYY,RBIs,MIL,0.5,demon
Garrett Mitchell,MLB,MIL,Singles,NYY,0.5,demon
Vinny Capra,MLB,MIL,Runs,NYY,0.5,demon
Paul Goldschmidt,MLB,NYY,Total Bases,MIL,2.5,demon
Austin Wells,MLB,NYY,Hitter Fantasy Score,MIL,6.5,standard
Jackson Chourio,MLB,MIL,Hitter Fantasy Score,NYY,6.5,standard
Vinny Capra,MLB,MIL,Total Bases,NYY,0.5,standard
Cody Bellinger,MLB,NYY,Hitter Fantasy Score,MIL,6.5,standard
Austin Wells,MLB,NYY,Total Bases,MIL,0.5,standard
William Contreras,MLB,MIL,Hitter Fantasy Score,NYY,5.5,standard
Christian Yelich,MLB,MIL,Hits+Runs+RBIs,NYY,1.5,standard
Mike Trout,MLB,LAA,Hitter Fantasy Score,CWS,7.0,standard
William Contreras,MLB,MIL,Hits+Runs+RBIs,NYY,1.5,standard
Luis Robert,MLB,CWS,Hitter Fantasy Score,LAA,6.5,standard
Byron Buxton,MLB,MIN,Hitter Fantasy Score,STL,6.5,standard
Garrett Mitchell,MLB,MIL,Hits+Runs+RBIs,NYY,0.5,standard
Carlos Correa,MLB,MIN,Hitter Fantasy Score,STL,6.5,standard
Max Fried,MLB,NYY,Hits Allowed,MIL,6.5,demon
Nestor Cortes,MLB,MIL,Pitcher Strikeouts,NYY,3.5,goblin
Max Fried,MLB,NYY,Hits Allowed,MIL,5.5,demon
Nestor Cortes,MLB,MIL,Hits Allowed,NYY,5.5,demon
Nestor Cortes,MLB,MIL,Pitcher Strikeouts,NYY,6.5,demon
Max Fried,MLB,NYY,Earned Runs Allowed,MIL,2.5,demon
Max Fried,MLB,NYY,Pitcher Strikeouts,MIL,6.5,demon
Nestor Cortes,MLB,MIL,Pitcher Strikeouts,NYY,7.5,demon
Max Fried,MLB,NYY,Pitcher Strikeouts,MIL,3.5,goblin
Max Fried,MLB,NYY,Pitcher Strikeouts,MIL,4.5,goblin
Nestor Cortes,MLB,MIL,Hits Allowed,NYY,3.5,goblin
Nestor Cortes,MLB,MIL,Earned Runs Allowed,NYY,1.5,goblin
Nestor Cortes,MLB,MIL,Hits Allowed,NYY,6.5,demon
Nestor Cortes,MLB,MIL,Pitcher Strikeouts,NYY,5.5,demon
Max Fried,MLB,NYY,Hits Allowed,MIL,3.5,goblin
Max Fried,MLB,NYY,Pitcher Strikeouts,MIL,7.5,demon
Willson Contreras,MLB,STL,Hitter Fantasy Score,MIN,6.0,standard
Brendan Donovan,MLB,STL,Hitter Fantasy Score,MIN,6.0,standard
Vladimir Guerrero Jr.,MLB,TOR,Hitter Fantasy Score,BAL,7.5,standard
Bo Bichette,MLB,TOR,Hitter Fantasy Score,BAL,6.5,standard
Anthony Santander,MLB,TOR,Hitter Fantasy Score,BAL,6.0,standard
Anthony Volpe,MLB,NYY,Stolen Bases,MIL,0.5,demon
Adley Rutschman,MLB,BAL,Hitter Fantasy Score,TOR,6.5,standard
Brice Turang,MLB,MIL,Stolen Bases,NYY,0.5,demon
Colton Cowser,MLB,BAL,Hitter Fantasy Score,TOR,5.5,standard
Christian Yelich,MLB,MIL,Stolen Bases,NYY,0.5,demon
Jordan Westburg,MLB,BAL,Hitter Fantasy Score,TOR,5.5,standard
Garrett Mitchell,MLB,MIL,Stolen Bases,NYY,0.5,demon
Trea Turner,MLB,PHI,Hitter Fantasy Score,WSH,7.5,standard
Jackson Chourio,MLB,MIL,Stolen Bases,NYY,0.5,demon
Bryce Harper,MLB,PHI,Hitter Fantasy Score,WSH,8.0,standard
Max Fried,MLB,NYY,Pitching Outs,MIL,16.5,standard
Max Fried,MLB,NYY,Pitcher Fantasy Score,MIL,30.5,standard
Jasson Domínguez,MLB,NYY,Stolen Bases,MIL,0.5,demon
Luis Rengifo,MLB,LAA,Hits,CWS,1.5,demon
Andrew Vaughn,MLB,CWS,Total Bases,LAA,1.5,demon
Jorge Soler,MLB,LAA,Total Bases,CWS,2.5,demon
Mike Trout,MLB,LAA,Runs,CWS,1.5,demon
Yoán Moncada,MLB,CWS,RBIs,LAA,0.5,demon
Yoán Moncada,MLB,CWS,Hits+Runs+RBIs,LAA,0.5,goblin
Logan O'Hoppe,MLB,LAA,RBIs,CWS,1.5,demon
Luis Rengifo,MLB,LAA,Walks,CWS,0.5,demon
Logan O'Hoppe,MLB,LAA,Hits,CWS,1.5,demon
José Soriano,MLB,LAA,Hits Allowed,CWS,4.5,standard
Andrew Vaughn,MLB,CWS,Total Bases,LAA,3.5,demon
Taylor Ward,MLB,LAA,Total Bases,CWS,2.5,demon
Andrew Vaughn,MLB,CWS,Total Bases,LAA,0.5,goblin
Mike Trout,MLB,LAA,Total Bases,CWS,0.5,goblin
Miguel Vargas,MLB,CWS,Total Bases,LAA,1.5,demon
Yoán Moncada,MLB,CWS,Hits,LAA,1.5,demon
Logan O'Hoppe,MLB,LAA,Total Bases,CWS,3.5,demon
Yoán Moncada,MLB,CWS,Total Bases,LAA,2.5,demon
Yoán Moncada,MLB,CWS,Total Bases,LAA,0.5,goblin
Yoán Moncada,MLB,CWS,Runs,LAA,1.5,demon
Luis Rengifo,MLB,LAA,Total Bases,CWS,3.5,demon
Lenyn Sosa,MLB,CWS,Total Bases,LAA,0.5,goblin
Yoán Moncada,MLB,CWS,Total Bases,LAA,1.5,demon
Jacob Amaya,MLB,CWS,Runs,LAA,0.5,demon
Luis Rengifo,MLB,LAA,Runs,CWS,1.5,demon
Luis Rengifo,MLB,LAA,RBIs,CWS,1.5,demon
Luis Rengifo,MLB,LAA,Hits+Runs+RBIs,CWS,2.5,demon
Logan O'Hoppe,MLB,LAA,Total Bases,CWS,4.5,demon
Luis Rengifo,MLB,LAA,Doubles,CWS,0.5,demon
Yoán Moncada,MLB,CWS,Hits,LAA,0.5,goblin
José Soriano,MLB,LAA,Pitcher Fantasy Score,CWS,26.5,standard
Jorge Soler,MLB,LAA,Hits+Runs+RBIs,CWS,2.5,demon
Logan O'Hoppe,MLB,LAA,Hits+Runs+RBIs,CWS,2.5,demon
Nolan Schanuel,MLB,LAA,Hits+Runs+RBIs,CWS,2.5,demon
Luis Robert,MLB,CWS,Hits,LAA,1.5,demon
Logan O'Hoppe,MLB,LAA,Walks,CWS,0.5,demon
Yoán Moncada,MLB,CWS,Total Bases,LAA,3.5,demon
Luis Robert,MLB,CWS,RBIs,LAA,0.5,demon
Jonathan Cannon,MLB,CWS,Pitcher Strikeouts,LAA,4.0,standard
Miguel Vargas,MLB,CWS,RBIs,LAA,0.5,demon
Andrew Benintendi,MLB,CWS,RBIs,LAA,0.5,demon
Andrew Vaughn,MLB,CWS,RBIs,LAA,1.5,demon
Jorge Soler,MLB,LAA,Total Bases,CWS,0.5,goblin
Taylor Ward,MLB,LAA,Hits,CWS,0.5,goblin
Jo Adell,MLB,LAA,Hits,CWS,1.5,demon
Andrew Benintendi,MLB,CWS,Total Bases,LAA,1.5,demon
Miguel Vargas,MLB,CWS,Total Bases,LAA,3.5,demon
Jacob Amaya,MLB,CWS,Total Bases,LAA,1.5,demon
Lenyn Sosa,MLB,CWS,Runs,LAA,0.5,demon
Jacob Amaya,MLB,CWS,RBIs,LAA,0.5,demon
Jorge Soler,MLB,LAA,RBIs,CWS,1.5,demon
Luis Rengifo,MLB,LAA,Total Bases,CWS,0.5,goblin
Mike Trout,MLB,LAA,RBIs,CWS,1.5,demon
Andrew Vaughn,MLB,CWS,Hits,LAA,1.5,demon
Taylor Ward,MLB,LAA,RBIs,CWS,0.5,demon
Luis Rengifo,MLB,LAA,Total Bases,CWS,2.5,demon
Jorge Soler,MLB,LAA,Hits,CWS,0.5,goblin
Jorge Soler,MLB,LAA,Doubles,CWS,0.5,demon
Andrew Vaughn,MLB,CWS,Hits+Runs+RBIs,LAA,2.5,demon
Andrew Vaughn,MLB,CWS,Walks,LAA,0.5,demon
Lenyn Sosa,MLB,CWS,Doubles,LAA,0.5,demon
Lenyn Sosa,MLB,CWS,Total Bases,LAA,3.5,demon
Luis Robert,MLB,CWS,Total Bases,LAA,3.5,demon
Miguel Vargas,MLB,CWS,Runs,LAA,1.5,demon
Andrew Benintendi,MLB,CWS,Total Bases,LAA,3.5,demon
Andrew Vaughn,MLB,CWS,RBIs,LAA,0.5,demon
Lenyn Sosa,MLB,CWS,RBIs,LAA,0.5,demon
Mike Trout,MLB,LAA,Doubles,CWS,0.5,demon
Andrew Vaughn,MLB,CWS,Doubles,LAA,0.5,demon
Lenyn Sosa,MLB,CWS,Hits+Runs+RBIs,LAA,0.5,goblin
Jacob Amaya,MLB,CWS,Hits+Runs+RBIs,LAA,1.5,demon
Lenyn Sosa,MLB,CWS,Total Bases,LAA,1.5,demon
Luis Rengifo,MLB,LAA,Total Bases,CWS,1.5,demon
Luis Robert,MLB,CWS,Total Bases,LAA,1.5,demon
Andrew Vaughn,MLB,CWS,Runs,LAA,0.5,demon
Luis Robert,MLB,CWS,Doubles,LAA,0.5,demon
Yoán Moncada,MLB,CWS,Walks,LAA,0.5,demon
Jacob Amaya,MLB,CWS,Walks,LAA,0.5,demon
Luis Robert,MLB,CWS,Hits+Runs+RBIs,LAA,2.5,demon
Taylor Ward,MLB,LAA,Runs,CWS,1.5,demon
Jo Adell,MLB,LAA,Total Bases,CWS,0.5,goblin
Jacob Amaya,MLB,CWS,Hits,LAA,1.5,demon
Jacob Amaya,MLB,CWS,Doubles,LAA,0.5,demon
Andrew Benintendi,MLB,CWS,Doubles,LAA,0.5,demon
Miguel Vargas,MLB,CWS,Total Bases,LAA,2.5,demon
Mike Trout,MLB,LAA,Total Bases,CWS,4.5,demon
Yoán Moncada,MLB,CWS,Doubles,LAA,0.5,demon
Taylor Ward,MLB,LAA,Total Bases,CWS,4.5,demon
Yoán Moncada,MLB,CWS,RBIs,LAA,1.5,demon
Luis Robert,MLB,CWS,RBIs,LAA,1.5,demon
Lenyn Sosa,MLB,CWS,Hits,LAA,1.5,demon
Miguel Vargas,MLB,CWS,Hits,LAA,1.5,demon
Nolan Schanuel,MLB,LAA,Hits,CWS,0.5,goblin
Mike Trout,MLB,LAA,Total Bases,CWS,2.5,demon
Jacob Amaya,MLB,CWS,Total Bases,LAA,2.5,demon
Andrew Benintendi,MLB,CWS,Hits+Runs+RBIs,LAA,2.5,demon
Jo Adell,MLB,LAA,Total Bases,CWS,3.5,demon
Mike Trout,MLB,LAA,Total Bases,CWS,3.5,demon
Nolan Schanuel,MLB,LAA,RBIs,CWS,0.5,demon
Nolan Schanuel,MLB,LAA,Doubles,CWS,0.5,demon
Taylor Ward,MLB,LAA,Hits,CWS,1.5,demon
Luis Robert,MLB,CWS,Walks,LAA,0.5,demon
Lenyn Sosa,MLB,CWS,RBIs,LAA,1.5,demon
Nolan Schanuel,MLB,LAA,Total Bases,CWS,0.5,goblin
Andrew Benintendi,MLB,CWS,Hits,LAA,0.5,goblin
Nolan Schanuel,MLB,LAA,Hits,CWS,1.5,demon
Nolan Schanuel,MLB,LAA,Total Bases,CWS,2.5,demon
Nolan Schanuel,MLB,LAA,Total Bases,CWS,3.5,demon
Taylor Ward,MLB,LAA,Doubles,CWS,0.5,demon
Lenyn Sosa,MLB,CWS,Total Bases,LAA,2.5,demon
Andrew Benintendi,MLB,CWS,Walks,LAA,0.5,demon
Nolan Schanuel,MLB,LAA,Runs,CWS,1.5,demon
Nolan Schanuel,MLB,LAA,Total Bases,CWS,1.5,demon
Nolan Schanuel,MLB,LAA,Walks,CWS,0.5,demon
Luis Robert,MLB,CWS,Total Bases,LAA,2.5,demon
Lenyn Sosa,MLB,CWS,Hits,LAA,0.5,goblin
Jorge Soler,MLB,LAA,Hits,CWS,1.5,demon
Mike Trout,MLB,LAA,Hits,CWS,1.5,demon
Taylor Ward,MLB,LAA,Total Bases,CWS,0.5,goblin
Miguel Vargas,MLB,CWS,RBIs,LAA,1.5,demon
Andrew Vaughn,MLB,CWS,Hits,LAA,0.5,goblin
Miguel Vargas,MLB,CWS,Doubles,LAA,0.5,demon
Logan O'Hoppe,MLB,LAA,Hits,CWS,0.5,goblin
Logan O'Hoppe,MLB,LAA,Total Bases,CWS,2.5,demon
Luis Robert,MLB,CWS,Hits,LAA,0.5,goblin
Logan O'Hoppe,MLB,LAA,RBIs,CWS,0.5,demon
Lenyn Sosa,MLB,CWS,Walks,LAA,0.5,demon
Jorge Soler,MLB,LAA,Total Bases,CWS,4.5,demon
Logan O'Hoppe,MLB,LAA,Doubles,CWS,0.5,demon
Jorge Soler,MLB,LAA,Total Bases,CWS,3.5,demon
Logan O'Hoppe,MLB,LAA,Runs,CWS,1.5,demon
Jorge Soler,MLB,LAA,Runs,CWS,1.5,demon
Andrew Benintendi,MLB,CWS,Total Bases,LAA,2.5,demon
Andrew Benintendi,MLB,CWS,Hits,LAA,1.5,demon
Luis Rengifo,MLB,LAA,Hits,CWS,0.5,goblin
Luis Robert,MLB,CWS,Total Bases,LAA,0.5,goblin
Luis Robert,MLB,CWS,Runs,LAA,1.5,demon
Andrew Benintendi,MLB,CWS,Runs,LAA,0.5,demon
Miguel Vargas,MLB,CWS,Hits+Runs+RBIs,LAA,0.5,goblin
Jo Adell,MLB,LAA,Walks,CWS,0.5,demon
Luis Rengifo,MLB,LAA,RBIs,CWS,0.5,demon
Logan O'Hoppe,MLB,LAA,Total Bases,CWS,0.5,goblin
Jo Adell,MLB,LAA,Total Bases,CWS,4.5,demon
Jo Adell,MLB,LAA,Hits+Runs+RBIs,CWS,2.5,demon
Jo Adell,MLB,LAA,RBIs,CWS,0.5,demon
Andrew Benintendi,MLB,CWS,RBIs,LAA,1.5,demon
Jo Adell,MLB,LAA,Hits,CWS,0.5,goblin
Jo Adell,MLB,LAA,RBIs,CWS,1.5,demon
Mike Trout,MLB,LAA,Hits,CWS,0.5,goblin
Jo Adell,MLB,LAA,Doubles,CWS,0.5,demon
Jo Adell,MLB,LAA,Total Bases,CWS,2.5,demon
Taylor Ward,MLB,LAA,Total Bases,CWS,3.5,demon
Andrew Vaughn,MLB,CWS,Total Bases,LAA,2.5,demon
Taylor Ward,MLB,LAA,RBIs,CWS,1.5,demon
Kyle Schwarber,MLB,PHI,Hitter Fantasy Score,WSH,6.5,standard
Jazz Chisholm Jr.,MLB,NYY,Stolen Bases,MIL,0.5,demon
José Soriano,MLB,LAA,Pitcher Strikeouts,CWS,4.5,standard
CJ Abrams,MLB,WSH,Hitter Fantasy Score,PHI,6.5,standard
Joey Ortiz,MLB,MIL,Stolen Bases,NYY,0.5,demon
James Wood,MLB,WSH,Hitter Fantasy Score,PHI,5.5,standard
Oneil Cruz,MLB,PIT,Hitter Fantasy Score,MIA,6.5,standard
Aaron Judge,MLB,NYY,Home Runs,MIL,0.5,demon
Sal Frelick,MLB,MIL,Stolen Bases,NYY,0.5,demon
Jacob Amaya,MLB,CWS,Total Bases,LAA,0.5,standard
Bryan Reynolds,MLB,PIT,Hitter Fantasy Score,MIA,6.5,standard
Anthony Volpe,MLB,NYY,Home Runs,MIL,0.5,demon
Jo Adell,MLB,LAA,Stolen Bases,CWS,0.5,demon
Logan O'Hoppe,MLB,LAA,Hits+Runs+RBIs,CWS,1.5,standard
Xavier Edwards,MLB,MIA,Hitter Fantasy Score,PIT,6.5,standard
Austin Wells,MLB,NYY,Home Runs,MIL,0.5,demon
Luis Rengifo,MLB,LAA,Stolen Bases,CWS,0.5,demon
Andrew Vaughn,MLB,CWS,Hits+Runs+RBIs,LAA,1.5,standard
Elly De La Cruz,MLB,CIN,Hitter Fantasy Score,SF,8.5,standard
Christian Yelich,MLB,MIL,Home Runs,NYY,0.5,demon
Luis Robert,MLB,CWS,Stolen Bases,LAA,0.5,demon
Luis Rengifo,MLB,LAA,Hits+Runs+RBIs,CWS,1.5,standard
Jung Hoo Lee,MLB,SF,Hitter Fantasy Score,CIN,6.0,standard
Cody Bellinger,MLB,NYY,Home Runs,MIL,0.5,demon
Ryan McMahon,MLB,COL,Hitter Fantasy Score,TB,6.0,standard
Jackson Chourio,MLB,MIL,Home Runs,NYY,0.5,demon
Mike Trout,MLB,LAA,Stolen Bases,CWS,0.5,demon
